ds,y
2020-01-01,102.48357076505616
2020-01-02,107.40171859354965
2020-01-03,113.53717236177225
2020-01-04,112.77816249739153
2020-01-05,95.58929683410884
2020-01-06,90.45366246706224
2020-01-07,101.72610090120831
2020-01-08,105.76025056884146
2020-01-09,107.66874509280774
2020-01-10,114.93460681227553
2020-01-11,104.76900167436602
2020-01-12,96.35449186295119
2020-01-13,94.75723553271524
2020-01-14,86.18671252345929
2020-01-15,95.22156468358868
2020-01-16,109.12775629935454
2020-01-17,109.08072791575051
2020-01-18,110.58040372448161
2020-01-19,96.06609717627332
2020-01-20,88.40898259128552
2020-01-21,105.00443451443296
2020-01-22,104.64034926679808
2020-01-23,114.19991189207593
2020-01-24,108.94421950943226
2020-01-25,108.21033036195627
2020-01-26,103.08390742550563
2020-01-27,91.63861013392737
2020-01-28,101.47775768463049
2020-01-29,104.68911424271366
2020-01-30,114.32687904274687
2020-01-31,114.9825043024295
2020-02-01,122.1167118302038
2020-02-02,104.38488527634354
2020-02-03,94.02810029933633
2020-02-04,105.635069076495
2020-02-05,103.51116636552949
2020-02-06,118.75274268981396
2020-02-07,110.11576366725453
2020-02-08,108.13746758624387
2020-02-09,107.35975450245577
2020-02-10,104.9320647671698
2020-02-11,104.30226284500581
2020-02-12,110.96022012652033
2020-02-13,118.12598315992066
2020-02-14,114.44458125789322
2020-02-15,113.10225371183941
2020-02-16,105.99533139138813
2020-02-17,108.44841992136426
2020-02-18,107.08658980997518
2020-02-19,104.64633768472478
2020-02-20,123.174998407918
2020-02-21,121.83485673072568
2020-02-22,115.23994167536003
2020-02-23,113.27998361346835
2020-02-24,110.24088332582636
2020-02-25,111.94797588079079
2020-02-26,111.18852776850218
2020-02-27,121.93159360476487
2020-02-28,127.33966221290201
2020-02-29,125.42535423557861
2020-03-01,109.74880790311452
2020-03-02,106.08066775310444
2020-03-03,103.68297733825658
2020-03-04,111.32665918728893
2020-03-05,129.46336151906885
2020-03-06,134.3876221218152
2020-03-07,122.11065491514206
2020-03-08,119.08542050487796
2020-03-09,110.7402196847386
2020-03-10,107.91213035833802
